phase,sample_index,season,stem,sar_path,opt_path,steps,max_keypoints,extractor,extractor_policy,extractors,match_preprocess,matcher_strategy,selected_extractor,worker_success,registration_reliable,match_count,inliers,inlier_ratio,rmse,mean_score,difference_mean,dx,dy,reliability_reasons,poor_spatial_coverage,bad_homography_shape,cascade_rescued,matcher_candidates_json,generation_ms,registration_ms,total_ms,error,result_dir,reused
coarse,10,summer,ROIs1868_summer_32_p1033,E:\Data\summer\s1_32\ROIs1868_summer_s1_32_p1033.png,E:\Data\summer\s2_32\ROIs1868_summer_s2_32_p1033.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,True,75,19,0.2533,1.737,0.226316,67.5058,-0.4812,-2.5905,,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 406.25, ""error"": """", ""match_count"": 75, ""inliers"": 19, ""inlier_ratio"": 0.2533, ""rmse"": 1.737, ""registration_reliable"": true, ""reliability_reasons"": [], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1641.55,495.24,2142.01,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0010_ROIs1868_summer_32_p1033,False
coarse,11,winter,ROIs2017_winter_63_p843,E:\Data\winter\s1_63\ROIs2017_winter_s1_63_p843.png,E:\Data\winter\s2_63\ROIs2017_winter_s2_63_p843.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,98,9,0.0918,1.2895,0.229639,54.2479,49.2398,28.7785,inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 388.39, ""error"": """", ""match_count"": 98, ""inliers"": 9, ""inlier_ratio"": 0.0918, ""rmse"": 1.2895, ""registration_reliable"": false, ""reliability_reasons"": [""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1613.37,485.64,2104.58,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0011_ROIs2017_winter_63_p843,False
coarse,12,fall,ROIs1970_fall_29_p33,E:\Data\fall\s1_29\ROIs1970_fall_s1_29_p33.png,E:\Data\fall\s2_29\ROIs1970_fall_s2_29_p33.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,True,294,194,0.6599,1.6655,0.243993,79.3361,0.6645,-0.0567,,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 430.38, ""error"": """", ""match_count"": 294, ""inliers"": 194, ""inlier_ratio"": 0.6599, ""rmse"": 1.6655, ""registration_reliable"": true, ""reliability_reasons"": [], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1642.27,518.25,2166.11,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0012_ROIs1970_fall_29_p33,False
coarse,13,spring,ROIs1158_spring_80_p718,E:\Data\spring\s1_80\ROIs1158_spring_s1_80_p718.png,E:\Data\spring\s2_80\ROIs1158_spring_s2_80_p718.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,40,7,0.175,1.5137,0.198333,159.2257,160.6096,-12.698,inliers < 8;inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 395.81, ""error"": """", ""match_count"": 40, ""inliers"": 7, ""inlier_ratio"": 0.175, ""rmse"": 1.5137, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1662.44,490.45,2158.36,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0013_ROIs1158_spring_80_p718,False
coarse,14,summer,ROIs1868_summer_0_p457,E:\Data\summer\s1_0\ROIs1868_summer_s1_0_p457.png,E:\Data\summer\s2_0\ROIs1868_summer_s2_0_p457.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,40,5,0.125,0.3861,0.184899,140.3656,154.4035,91.3317,inliers < 8;inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 383.53, ""error"": """", ""match_count"": 40, ""inliers"": 5, ""inlier_ratio"": 0.125, ""rmse"": 0.3861, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1640.05,477.55,2123.79,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0014_ROIs1868_summer_0_p457,False
coarse,15,winter,ROIs2017_winter_29_p511,E:\Data\winter\s1_29\ROIs2017_winter_s1_29_p511.png,E:\Data\winter\s2_29\ROIs2017_winter_s2_29_p511.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,69,8,0.1159,1.0711,0.191226,79.6382,42.4753,15.6687,inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 382.2, ""error"": """", ""match_count"": 69, ""inliers"": 8, ""inlier_ratio"": 0.1159, ""rmse"": 1.0711, ""registration_reliable"": false, ""reliability_reasons"": [""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1664.45,471.39,2141.22,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0015_ROIs2017_winter_29_p511,False
coarse,16,fall,ROIs1970_fall_52_p762,E:\Data\fall\s1_52\ROIs1970_fall_s1_52_p762.png,E:\Data\fall\s2_52\ROIs1970_fall_s2_52_p762.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,161,11,0.0683,1.547,0.247008,89.6254,-5.7008,-23.7988,inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 407.65, ""error"": """", ""match_count"": 161, ""inliers"": 11, ""inlier_ratio"": 0.0683, ""rmse"": 1.547, ""registration_reliable"": false, ""reliability_reasons"": [""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1678.41,502.16,2186.2,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0016_ROIs1970_fall_52_p762,False
coarse,17,spring,ROIs1158_spring_127_p361,E:\Data\spring\s1_127\ROIs1158_spring_s1_127_p361.png,E:\Data\spring\s2_127\ROIs1158_spring_s2_127_p361.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,137,8,0.0584,0.6507,0.246362,72.224,-140.6649,-250.0914,inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 399.67, ""error"": """", ""match_count"": 137, ""inliers"": 8, ""inlier_ratio"": 0.0584, ""rmse"": 0.6507, ""registration_reliable"": false, ""reliability_reasons"": [""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1672.58,494.51,2173.46,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0017_ROIs1158_spring_127_p361,False
coarse,18,summer,ROIs1868_summer_120_p533,E:\Data\summer\s1_120\ROIs1868_summer_s1_120_p533.png,E:\Data\summer\s2_120\ROIs1868_summer_s2_120_p533.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,67,6,0.0896,0.7497,0.188668,65.2159,376.7203,309.923,inliers < 8;inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 544.32, ""error"": """", ""match_count"": 67, ""inliers"": 6, ""inlier_ratio"": 0.0896, ""rmse"": 0.7497, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",2443.19,710.62,3162.39,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0018_ROIs1868_summer_120_p533,False
coarse,19,winter,winter_img_temperate_p616,E:\Data\winter\s1_171\winter_img_temperate_p616.png,E:\Data\winter\s2_171\winter_img_temperate_p616.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,10,5,0.5,0.5365,0.17465,54.8419,-36.0338,7.4033,inliers < 8;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 386.29, ""error"": """", ""match_count"": 10, ""inliers"": 5, ""inlier_ratio"": 0.5, ""rmse"": 0.5365, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1633.99,474.05,2112.72,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0019_winter_img_temperate_p616,False
